gene_id,importance_score,z_score,is_perturbed
CDH11,0.0,-0.17964239331779489,False
CDH2,0.0,-0.17964239331779489,False
CDH3,0.0,-0.17964239331779489,False
CDK2AP1,0.0,-0.17964239331779489,False
CDKN1A,0.0,-0.17964239331779489,False
CDS2,0.0,-0.17964239331779489,False
CEACAM5,0.0,-0.17964239331779489,False
CEACAM6,0.0,-0.17964239331779489,False
CELSR1,0.0,-0.17964239331779489,False
CELSR2,0.0,-0.17964239331779489,False
CENPF,0.0,-0.17964239331779489,False
CERS2,0.0,-0.17964239331779489,False
CERS4,0.0,-0.17964239331779489,False
CERS6,0.0,-0.17964239331779489,False
CFD,0.0,-0.17964239331779489,False
CFL1,0.0,-0.17964239331779489,False
CFL2,0.0,-0.17964239331779489,False
CGA,0.0,-0.17964239331779489,False
CGN,0.0,-0.17964239331779489,False
CHCHD2,0.0,-0.17964239331779489,False
CHD1,0.0,-0.17964239331779489,False
CHD3,0.0,-0.17964239331779489,False
CHEK2,0.0,-0.17964239331779489,False
CHGA,0.0,-0.17964239331779489,False
CHGB,0.0,-0.17964239331779489,False
CHI3L1,0.0,-0.17964239331779489,False
CHMP2A,0.0,-0.17964239331779489,False
CHMP4B,0.0,-0.17964239331779489,False
CHPT1,0.0,-0.17964239331779489,False
CIDEC,0.0,-0.17964239331779489,False
CILP,0.0,-0.17964239331779489,False
CIRBP,0.0,-0.17964239331779489,False
CKAP5,0.0,-0.17964239331779489,False
CKM,0.0,-0.17964239331779489,False
CLCA2,0.0,-0.17964239331779489,False
CLDN4,0.0,-0.17964239331779489,False
CLIC1,0.0,-0.17964239331779489,False
CLIC4,0.0,-0.17964239331779489,False
CLIC6,0.0,-0.17964239331779489,False
CLSTN1,0.0,-0.17964239331779489,False
CLTC,0.0,-0.17964239331779489,False
CLU,0.0,-0.17964239331779489,False
CMPK1,0.0,-0.17964239331779489,False
CMYA5,0.0,-0.17964239331779489,False
CNBP,0.0,-0.17964239331779489,False
CNDP2,0.0,-0.17964239331779489,False
CNOT1,0.0,-0.17964239331779489,False
COL10A1,0.0,-0.17964239331779489,False
COL11A1,0.0,-0.17964239331779489,False
COL12A1,0.0,-0.17964239331779489,False
COL14A1,0.0,-0.17964239331779489,False
COL15A1,0.0,-0.17964239331779489,False
COL16A1,0.0,-0.17964239331779489,False
COL17A1,0.0,-0.17964239331779489,False
COL18A1,0.0,-0.17964239331779489,False
COL1A1,0.0,-0.17964239331779489,False
COL1A2,0.0,-0.17964239331779489,False
COL2A1,0.0,-0.17964239331779489,False
COL3A1,0.0,-0.17964239331779489,False
COL4A1,0.0,-0.17964239331779489,False
COL4A2,0.0,-0.17964239331779489,False
COL5A1,0.0,-0.17964239331779489,False
COL5A2,0.0,-0.17964239331779489,False
COL6A1,0.0,-0.17964239331779489,False
COL6A2,0.0,-0.17964239331779489,False
COL6A3,0.0,-0.17964239331779489,False
COL8A1,0.0,-0.17964239331779489,False
COLGALT1,0.0,-0.17964239331779489,False
COMP,0.0,-0.17964239331779489,False
COPA,0.0,-0.17964239331779489,False
COPB1,0.0,-0.17964239331779489,False
COPB2,0.0,-0.17964239331779489,False
COPG1,0.0,-0.17964239331779489,False
COPZ1,0.0,-0.17964239331779489,False
CORO1B,0.0,-0.17964239331779489,False
COX4I1,0.0,-0.17964239331779489,False
COX6B1,0.0,-0.17964239331779489,False
COX6C,0.0,-0.17964239331779489,False
COX7C,0.0,-0.17964239331779489,False
CP,0.0,-0.17964239331779489,False
CPB1,0.0,-0.17964239331779489,False
CPD,0.0,-0.17964239331779489,False
CPE,0.0,-0.17964239331779489,False
CPT1A,0.0,-0.17964239331779489,False
CRAT,0.0,-0.17964239331779489,False
CREB3L2,0.0,-0.17964239331779489,False
CREB3L4,0.0,-0.17964239331779489,False
CREG1,0.0,-0.17964239331779489,False
CRIM1,0.0,-0.17964239331779489,False
CRISP3,0.0,-0.17964239331779489,False
CRTAP,0.0,-0.17964239331779489,False
CRYAB,0.0,-0.17964239331779489,False
CS,0.0,-0.17964239331779489,False
CSDE1,0.0,-0.17964239331779489,False
CSE1L,0.0,-0.17964239331779489,False
CSN3,0.0,-0.17964239331779489,False
CSPG4,0.0,-0.17964239331779489,False
CSRP3,0.0,-0.17964239331779489,False
CST3,0.0,-0.17964239331779489,False
CSTB,0.0,-0.17964239331779489,False
CTDSP2,0.0,-0.17964239331779489,False
CTHRC1,0.0,-0.17964239331779489,False
CTNNA1,0.0,-0.17964239331779489,False
CTNNB1,0.0,-0.17964239331779489,False
CTNNBL1,0.0,-0.17964239331779489,False
CTSB,0.0,-0.17964239331779489,False
CTSC,0.0,-0.17964239331779489,False
CTSD,0.0,-0.17964239331779489,False
CTSF,0.0,-0.17964239331779489,False
CTSK,0.0,-0.17964239331779489,False
CTSL,0.0,-0.17964239331779489,False
CTSS,0.0,-0.17964239331779489,False
CTSZ,0.0,-0.17964239331779489,False
CTTN,0.0,-0.17964239331779489,False
CX3CL1,0.0,-0.17964239331779489,False
CXCL10,0.0,-0.17964239331779489,False
CXCL12,0.0,-0.17964239331779489,False
CXCL13,0.0,-0.17964239331779489,False
CXCL14,0.0,-0.17964239331779489,False
CXCL17,0.0,-0.17964239331779489,False
CXCL9,0.0,-0.17964239331779489,False
