Rank,Gene,Importance Score,Valid Target
422,CXCL9,0.0,False
423,CXCR4,0.0,False
424,CXXC5,0.0,False
425,CYB561,0.0,False
426,CYB5A,0.0,False
427,CYB5R1,0.0,False
428,CYB5R3,0.0,False
429,CYBRD1,0.0,False
430,CYC1,0.0,False
431,CYFIP1,0.0,False
432,CYP1B1,0.0,False
433,CYP2A6,0.0,False
434,CYP2A7,0.0,False
435,CYP4F8,0.0,False
436,CYP4X1,0.0,False
437,CYP4Z1,0.0,False
438,DAG1,0.0,False
439,DAP3,0.0,False
440,DBI,0.0,False
441,DCAF10,0.0,False
442,DCAF7,0.0,False
443,DCN,0.0,False
444,DDB1,0.0,False
445,DDOST,0.0,False
446,DDR1,0.0,False
447,DDR2,0.0,False
448,DDX17,0.0,False
449,DDX21,0.0,False
450,DDX3X,0.0,False
451,DDX42,0.0,False
452,DDX5,0.0,False
453,DDX6,0.0,False
454,DDX60,0.0,False
455,DEGS1,0.0,False
456,DEGS2,0.0,False
457,DEK,0.0,False
458,DENND1B,0.0,False
459,DENND4C,0.0,False
460,DERL1,0.0,False
461,DES,0.0,False
462,DGAT2,0.0,False
463,DHCR24,0.0,False
464,DHCR7,0.0,False
465,DHRS2,0.0,False
466,DHX15,0.0,False
467,DHX9,0.0,False
468,DLK1,0.0,False
469,DMBT1,0.0,False
470,DNAJA1,0.0,False
471,DNAJB1,0.0,False
472,DNAJC1,0.0,False
473,DNAJC10,0.0,False
474,DPYSL2,0.0,False
475,DPYSL3,0.0,False
476,DSC2,0.0,False
477,DSC3,0.0,False
478,DSG1,0.0,False
479,DSG2,0.0,False
480,DSP,0.0,False
481,DST,0.0,False
482,DSTN,0.0,False
483,DTX3L,0.0,False
484,DUSP1,0.0,False
485,DYNC1H1,0.0,False
486,DYNLL1,0.0,False
487,DYNLL2,0.0,False
488,ECE1,0.0,False
489,ECM1,0.0,False
490,EDEM3,0.0,False
491,EDF1,0.0,False
492,EDIL3,0.0,False
493,EEF1A1,0.0,False
494,EEF1A2,0.0,False
495,EEF1B2,0.0,False
496,EEF2,0.0,False
497,EFEMP1,0.0,False
498,EGFR,0.0,False
499,EGR1,0.0,False
500,EHD2,0.0,False
501,EID1,0.0,False
502,EIF1,0.0,False
503,EIF2AK1,0.0,False
504,EIF2AK2,0.0,False
505,EIF2S3,0.0,False
506,EIF3A,0.0,False
507,EIF3B,0.0,False
508,EIF3D,0.0,False
509,EIF3E,0.0,False
510,EIF3H,0.0,False
511,EIF3I,0.0,False
512,EIF3L,0.0,False
513,EIF4A2,0.0,False
514,EIF4B,0.0,False
515,EIF4EBP2,0.0,False
516,EIF4G1,0.0,False
517,EIF4G2,0.0,False
518,EIF4H,0.0,False
519,EIF5,0.0,False
520,EIF5A,0.0,False
521,EIF5B,0.0,False
522,ELF5,0.0,False
523,ELN,0.0,False
524,ELOB,0.0,False
525,ELOVL2,0.0,False
526,ELOVL5,0.0,False
527,ELP2,0.0,False
528,EMP2,0.0,False
529,ENAH,0.0,False
530,ENO1,0.0,False
531,ENO3,0.0,False
532,ENPP1,0.0,False
533,ENSA,0.0,False
534,ENTPD5,0.0,False
535,EPAS1,0.0,False
536,EPB41L2,0.0,False
537,EPCAM,0.0,False
538,EPHB3,0.0,False
539,EPHX1,0.0,False
540,ERBB2,0.0,True
541,ERBB3,0.0,False
542,ERGIC1,0.0,False
543,ERLIN2,0.0,False
544,ESR1,0.0,True
545,ESRP1,0.0,False
546,ESYT1,0.0,False
547,ESYT2,0.0,False
548,ETS1,0.0,False
549,ETV6,0.0,False
550,EWSR1,0.0,False
551,EXOC2,0.0,False
552,EZR,0.0,False
553,F11R,0.0,False
554,FABP4,0.0,False
555,FABP7,0.0,False
556,FADS2,0.0,False
557,FAM120A,0.0,False
558,FASN,0.0,False
559,FAT1,0.0,False
560,FAU,0.0,False
561,FBL,0.0,False
562,FBLN1,0.0,False
563,FBLN2,0.0,False
564,FBN1,0.0,False
565,FBXO32,0.0,False
566,FCGBP,0.0,False
567,FCGR3A,0.0,False
568,FCGRT,0.0,False
569,FGA,0.0,False
570,FGB,0.0,False
571,FGD3,0.0,False
572,FGF10,0.0,False
573,FGFR1,0.0,True
574,FGFR2,0.0,False
575,FGG,0.0,False
576,FHL1,0.0,False
577,FHL2,0.0,False
578,FKBP10,0.0,False
579,FKBP1A,0.0,False
580,FKBP4,0.0,False
581,FKBP5,0.0,False
582,FKBP8,0.0,False
583,FLII,0.0,False
584,FLNA,0.0,False
585,FLNB,0.0,False
586,FLNC,0.0,False
587,FLOT1,0.0,False
588,FMOD,0.0,False
589,FN1,0.0,False
590,FNBP1L,0.0,False
591,FOS,0.0,False
592,FOSB,0.0,False
593,FOSL2,0.0,False
594,FOXA1,0.0,True
595,FSCN1,0.0,False
596,FSTL1,0.0,False
597,FTL,0.0,False
598,FTO,0.0,False
599,FURIN,0.0,False
600,FUS,0.0,False
601,FXR1,0.0,False
602,FYCO1,0.0,False
603,FZD4,0.0,False
604,G3BP1,0.0,False
605,G3BP2,0.0,False
606,G6PD,0.0,False
607,GANAB,0.0,False
608,GAPDH,0.0,False
609,GATA3,0.0,True
610,GBP1,0.0,False
611,GBP2,0.0,False
612,GBP4,0.0,False
613,GCN1,0.0,False
614,GDAP1,0.0,False
615,GDF9,0.0,False
616,GDI1,0.0,False
617,GDI2,0.0,False
618,GFPT1,0.0,False
619,GFRA1,0.0,False
620,GJA1,0.0,False
621,GLG1,0.0,False
622,GLI3,0.0,False
623,GLO1,0.0,False
624,GLUD1,0.0,False
625,GLUL,0.0,False
626,GNAI2,0.0,False
627,GNAS,0.0,False
628,GNB1,0.0,False
629,GNB2,0.0,False
630,GNG12,0.0,False
631,GNS,0.0,False
632,GOLGA4,0.0,False
633,GOLGB1,0.0,False
634,GOLM1,0.0,False
635,GOT2,0.0,False
636,GP2,0.0,False
637,GPAA1,0.0,False
